0,738,875,87,43,781,896,0.96
1,738,875,87,43,781,896,0.96
2,738,875,87,43,781,896,0.96
3,738,875,87,43,781,896,0.96
4,738,875,87,43,781,896,0.96
5,738,875,87,43,781,896,0.96
6,738,875,87,43,781,896,0.96
7,738,875,87,43,781,896,0.96
8,738,875,87,43,781,896,0.96
9,738,875,87,43,781,896,0.96
10,738,875,87,43,781,896,0.96
11,738,875,87,43,781,896,0.96
12,738,875,87,43,781,896,0.96
13,738,875,87,43,781,896,0.96
14,738,875,87,43,781,896,0.96
15,738,875,87,43,781,896,0.96
16,738,875,87,43,781,896,0.96
17,738,875,87,43,781,896,0.96
18,738,875,87,43,781,896,0.96
19,738,875,87,43,781,896,0.96
20,738,875,87,43,781,896,0.96
21,738,875,87,43,781,896,0.96
22,738,875,87,43,781,896,0.96
23,738,875,87,43,781,896,0.96
24,738,875,87,43,781,896,0.96
25,738,875,87,43,781,896,0.96
26,738,875,87,43,781,896,0.96
27,738,875,87,43,781,896,0.96
28,738,875,87,43,781,896,0.96
29,738,875,87,43,781,896,0.96
30,738,875,87,43,781,896,0.96
31,738,875,87,43,781,896,0.96
32,738,875,87,43,781,896,0.96
33,738,875,87,43,781,896,0.96
34,738,875,87,43,781,896,0.96
35,738,875,87,43,781,896,0.96
36,738,875,87,43,781,896,0.96
37,738,875,87,43,781,896,0.96
38,738,875,87,43,781,896,0.96
39,738,875,87,43,781,896,0.96
40,738,875,87,43,781,896,0.96
41,738,875,87,43,781,896,0.96
42,738,875,87,43,781,896,0.96
43,738,875,87,43,781,896,0.96
44,738,875,87,43,781,896,0.96
45,738,875,87,43,781,896,0.96
46,738,875,87,43,781,896,0.96
47,738,875,87,43,781,896,0.96
48,738,875,87,43,781,896,0.96
49,738,875,87,43,781,896,0.96
50,738,875,87,43,781,896,0.96
51,738,875,87,43,781,896,0.96
52,738,875,87,43,781,896,0.96
53,738,875,87,43,781,896,0.96
54,738,875,87,43,781,896,0.96
55,738,875,87,43,781,896,0.96
56,738,875,87,43,781,896,0.96
57,738,875,87,43,781,896,0.96
58,738,875,87,43,781,896,0.96
59,738,874,87,43,781,895,0.96
60,739,874,86,43,782,895,0.96
61,738,874,88,43,782,895,0.96
62,739,873,87,43,782,894,0.96
63,740,873,86,43,783,894,0.96
64,740,871,86,43,783,892,0.96
65,741,869,85,43,783,890,0.96
66,742,866,84,43,784,887,0.95
67,743,863,85,44,785,885,0.96
68,743,860,86,44,786,882,0.96
69,745,858,85,43,787,879,0.95
70,746,856,85,43,788,877,0.95
71,747,852,85,44,789,874,0.96
72,749,848,85,44,791,870,0.96
73,751,843,86,45,794,865,0.96
74,753,840,85,43,795,861,0.96
75,754,836,85,44,796,858,0.96
76,756,832,86,44,799,854,0.96
77,757,828,87,44,800,850,0.96
78,760,825,86,44,803,847,0.96
79,761,822,87,44,804,844,0.95
80,763,819,86,43,806,840,0.96
81,765,815,86,44,808,837,0.96
82,767,812,85,43,809,833,0.97
83,768,808,86,45,811,830,0.96
84,770,805,86,45,813,827,0.96
85,772,802,86,44,815,824,0.96
86,774,798,86,45,817,820,0.95
87,775,795,87,45,818,817,0.96
88,778,792,86,44,821,814,0.96
89,780,788,85,44,822,810,0.97
90,782,784,85,43,824,805,0.96
91,784,779,84,43,826,800,0.97
92,786,773,83,44,827,795,0.96
93,788,768,83,42,829,789,0.96
94,790,763,83,42,831,784,0.95
95,791,757,85,41,833,777,0.96
96,793,751,84,40,835,771,0.96
97,794,744,83,41,835,764,0.96
98,795,738,84,41,837,758,0.96
99,796,732,83,42,837,753,0.96
100,797,727,81,41,837,747,0.95
101,797,724,81,40,837,744,0.95
102,797,721,80,40,837,741,0.95
103,796,717,81,41,836,737,0.96
104,795,714,81,42,835,735,0.95
105,795,711,80,43,835,732,0.95
106,794,710,80,42,834,731,0.95
107,794,710,79,42,833,731,0.95
108,793,710,80,43,833,731,0.95
109,792,712,80,42,832,733,0.95
110,791,714,80,42,831,735,0.95
111,790,717,80,41,830,737,0.95
112,788,719,81,42,828,740,0.95
113,786,721,82,43,827,742,0.96
114,785,724,81,43,825,745,0.96
115,782,727,81,43,822,748,0.96
116,780,730,80,43,820,751,0.95
117,776,733,81,43,816,754,0.96
118,771,736,82,43,812,757,0.95
119,767,738,81,43,807,759,0.95
120,760,740,83,43,801,761,0.96
121,756,742,82,42,797,763,0.96
122,750,742,82,43,791,763,0.96
123,745,741,81,44,785,763,0.96
124,739,739,82,45,780,761,0.96
125,735,737,81,44,775,759,0.96
126,728,734,82,45,769,756,0.94
127,723,730,82,45,764,752,0.96
128,718,725,82,45,759,747,0.96
129,713,719,81,46,753,742,0.96
130,709,713,81,46,749,736,0.96
131,704,707,81,45,744,729,0.96
132,699,700,82,46,740,723,0.96
133,695,692,81,46,735,715,0.96
134,691,685,81,46,731,708,0.95
135,687,677,81,47,727,700,0.96
136,683,671,81,45,723,693,0.96
137,678,663,81,46,718,686,0.96
138,675,657,81,45,715,679,0.96
139,671,650,81,47,711,673,0.96
140,667,644,82,47,708,667,0.95
141,663,639,81,47,703,662,0.95
142,659,634,82,47,700,657,0.96
143,656,630,81,48,696,654,0.96
144,651,626,81,49,691,650,0.96
145,648,624,81,49,688,648,0.95
146,644,622,81,48,684,646,0.95
147,640,620,81,49,680,644,0.95
148,637,619,81,50,677,644,0.96
149,635,618,80,50,675,643,0.96
150,632,618,79,50,671,643,0.96
151,629,619,79,50,668,644,0.96
152,626,621,79,49,665,645,0.96
153,625,623,78,49,664,647,0.96
154,624,625,77,48,662,649,0.95
155,621,627,78,48,660,651,0.95
156,619,630,78,47,658,653,0.96
157,620,632,77,47,658,655,0.95
158,619,635,77,46,657,658,0.95
159,618,637,78,45,657,659,0.95
160,618,640,78,44,657,662,0.95
161,619,641,77,45,657,663,0.95
162,619,643,77,44,657,665,0.96
163,619,644,77,44,657,666,0.96
164,619,645,78,44,658,667,0.96
165,619,647,78,43,658,668,0.96
166,620,648,77,43,658,669,0.96
167,620,648,78,44,659,670,0.96
168,622,649,76,44,660,671,0.96
169,622,650,77,43,660,671,0.96
170,623,651,76,43,661,672,0.96
171,624,651,76,44,662,673,0.96
172,624,652,76,44,662,674,0.96
173,625,653,75,43,662,674,0.96
174,626,654,75,43,663,675,0.96
175,627,655,75,43,664,676,0.96
176,628,656,75,42,665,677,0.96
177,628,657,76,42,666,678,0.96
178,629,658,76,42,667,679,0.96
179,631,658,76,42,669,679,0.96
180,632,659,76,42,670,680,0.96
181,633,660,76,42,671,681,0.96
182,634,660,77,42,672,681,0.96
183,636,661,76,42,674,682,0.96
184,638,661,76,43,676,682,0.96
185,640,662,76,42,678,683,0.96
186,642,663,76,41,680,683,0.96
187,645,663,76,42,683,684,0.96
188,648,664,76,41,686,684,0.96
189,650,665,76,41,688,685,0.96
190,654,665,76,41,692,685,0.96
191,657,666,77,41,695,686,0.95
192,661,665,77,42,699,686,0.95
193,665,665,76,42,703,686,0.96
194,668,665,77,42,706,686,0.96
195,672,665,77,41,710,685,0.96
196,677,664,76,42,715,685,0.96
